               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065943,             0.10941,            0.025779,             0.77494,                 0.8,             0.79883,             0.49432,            0.049794,             0.10133,            0.017694,            0.070297,           0.0033003,           0.0033003
                   1,            0.064775,             0.11936,            0.022009,             0.75583,                 0.8,             0.75933,             0.49375,            0.050769,             0.10425,             0.01821,            0.040284,           0.0066205,           0.0066205
                   2,            0.064535,             0.10804,            0.021522,             0.69101,                 0.8,             0.83233,             0.55719,            0.050626,             0.10456,             0.01721,            0.010258,           0.0099275,           0.0099275
                   3,            0.067695,             0.11213,            0.020971,              0.7994,             0.45289,             0.48302,             0.12852,            0.087329,             0.11226,            0.018872,           0.0099406,           0.0099406,           0.0099406
                   4,            0.070858,              0.1073,            0.020866,             0.61409,             0.58833,             0.69042,             0.36407,             0.05332,             0.12037,            0.017508,           0.0099406,           0.0099406,           0.0099406
                   5,              0.0678,             0.11585,            0.020871,             0.95686,             0.58829,             0.68702,              0.2674,             0.06603,             0.11342,            0.017798,           0.0099208,           0.0099208,           0.0099208
                   6,            0.067156,             0.10389,            0.019904,              0.6383,               0.475,             0.39915,            0.072998,            0.090664,             0.11626,            0.018548,            0.009901,            0.009901,            0.009901
                   7,            0.074935,            0.098597,            0.020335,              0.6541,                 0.8,             0.73822,             0.45283,            0.052712,             0.13046,            0.018016,           0.0098812,           0.0098812,           0.0098812
                   8,             0.06329,             0.10285,            0.020302,             0.57529,                 0.8,             0.70033,             0.26808,            0.068783,             0.11973,            0.016375,           0.0098614,           0.0098614,           0.0098614
                   9,            0.067607,             0.11203,            0.019534,             0.58957,                 0.8,             0.73189,             0.32992,            0.063008,             0.11677,            0.016837,           0.0098416,           0.0098416,           0.0098416
                  10,            0.063447,               0.108,            0.019751,             0.59032,                 0.7,             0.65564,             0.39239,            0.067294,             0.12173,            0.016159,           0.0098218,           0.0098218,           0.0098218
                  11,            0.076837,             0.12105,            0.020682,             0.51493,             0.77644,              0.6837,             0.41038,            0.074324,              0.1165,            0.016452,            0.009802,            0.009802,            0.009802
                  12,            0.068124,             0.11257,            0.019394,             0.71249,                 0.8,              0.8952,              0.4901,            0.056273,             0.11351,            0.016251,           0.0097822,           0.0097822,           0.0097822
                  13,            0.069109,             0.10116,            0.018313,             0.59841,             0.75772,             0.81936,             0.34879,            0.069124,             0.11643,            0.016227,           0.0097624,           0.0097624,           0.0097624
                  14,            0.070662,             0.10478,            0.018481,             0.55773,                 0.7,              0.7537,             0.33982,            0.064049,             0.10871,             0.01642,           0.0097426,           0.0097426,           0.0097426
                  15,            0.068609,            0.099513,            0.018368,             0.78367,                 0.6,             0.72701,             0.27193,            0.068548,             0.12082,            0.016919,           0.0097228,           0.0097228,           0.0097228
                  16,            0.069794,             0.10531,            0.018604,             0.68116,                 0.8,             0.83108,             0.36525,             0.06753,             0.11054,            0.016522,            0.009703,            0.009703,            0.009703
                  17,            0.063744,            0.098117,             0.01758,             0.58839,                0.65,             0.61662,             0.23324,            0.071772,             0.11436,            0.016267,           0.0096832,           0.0096832,           0.0096832
                  18,            0.068936,            0.097211,            0.017899,             0.66452,             0.74174,             0.83619,             0.41741,             0.05847,             0.12307,            0.016935,           0.0096634,           0.0096634,           0.0096634
                  19,            0.062309,            0.099706,            0.017769,             0.75094,               0.725,             0.75065,              0.3325,            0.071603,             0.11163,            0.015317,           0.0096436,           0.0096436,           0.0096436
                  20,            0.068914,             0.10623,            0.016726,             0.73978,               0.625,             0.75358,             0.35485,            0.065037,             0.11105,            0.016299,           0.0096238,           0.0096238,           0.0096238
                  21,            0.063051,             0.10197,               0.017,             0.64457,                 0.8,             0.72982,             0.26809,            0.071943,             0.11605,             0.01476,            0.009604,            0.009604,            0.009604
                  22,            0.067106,             0.10251,            0.016921,             0.66528,                 0.8,             0.82232,             0.49484,            0.057629,               0.113,             0.01571,           0.0095842,           0.0095842,           0.0095842
                  23,            0.064908,            0.097898,             0.01682,             0.78198,             0.74051,             0.83145,             0.39451,            0.062996,             0.11127,            0.015118,           0.0095644,           0.0095644,           0.0095644
                  24,             0.06432,            0.099105,            0.016378,             0.81568,                 0.6,             0.76278,             0.35361,            0.065994,             0.11843,            0.015435,           0.0095446,           0.0095446,           0.0095446
                  25,            0.065378,             0.10067,            0.016866,             0.72088,                 0.8,             0.87617,             0.48936,            0.057505,             0.11032,            0.015417,           0.0095248,           0.0095248,           0.0095248
                  26,            0.059329,             0.09605,            0.016912,             0.70563,             0.77529,             0.84631,             0.40467,            0.063317,             0.11187,            0.014744,            0.009505,            0.009505,            0.009505
                  27,            0.066345,             0.10188,            0.017001,             0.62245,             0.70508,             0.78172,             0.40129,            0.063551,             0.11133,            0.015301,           0.0094852,           0.0094852,           0.0094852
                  28,            0.065904,            0.099728,            0.016438,             0.54953,                 0.8,             0.64209,             0.19108,            0.078835,             0.11276,            0.013941,           0.0094654,           0.0094654,           0.0094654
                  29,            0.067319,             0.10523,            0.016523,             0.60773,                0.75,              0.7689,             0.41611,            0.057681,             0.11791,            0.014921,           0.0094456,           0.0094456,           0.0094456
                  30,            0.064111,             0.10121,            0.017011,             0.75109,                 0.8,             0.85286,             0.52829,            0.050941,             0.10871,            0.014318,           0.0094258,           0.0094258,           0.0094258
                  31,            0.059558,            0.098152,            0.016392,             0.65507,                0.75,             0.77912,             0.44575,            0.068294,              0.1154,            0.014587,            0.009406,            0.009406,            0.009406
                  32,            0.067422,            0.096735,            0.015996,             0.80739,                 0.8,             0.79124,             0.38363,            0.060691,             0.11242,            0.013857,           0.0093862,           0.0093862,           0.0093862
                  33,            0.061468,             0.09788,            0.015787,             0.56997,                 0.8,             0.78105,             0.33701,            0.065681,             0.11514,            0.013612,           0.0093664,           0.0093664,           0.0093664
                  34,            0.063451,             0.10018,            0.016074,             0.80716,                 0.8,             0.86233,             0.43026,            0.055838,             0.10467,            0.013524,           0.0093466,           0.0093466,           0.0093466
                  35,            0.062869,            0.095763,            0.015729,             0.79219,                 0.8,             0.91877,             0.42611,            0.065387,             0.11582,            0.014326,           0.0093268,           0.0093268,           0.0093268
                  36,            0.065432,            0.093899,             0.01468,             0.72443,                 0.8,             0.90346,             0.51349,            0.058553,             0.11022,            0.013457,            0.009307,            0.009307,            0.009307
                  37,            0.063709,            0.095016,            0.015694,             0.60742,                 0.7,             0.82548,             0.40151,            0.062598,             0.11303,            0.012627,           0.0092872,           0.0092872,           0.0092872
                  38,            0.060804,             0.10113,            0.015874,             0.63195,                0.75,             0.76965,             0.34881,            0.066414,             0.11139,            0.013247,           0.0092674,           0.0092674,           0.0092674
                  39,            0.063928,            0.096326,            0.015574,             0.65472,                 0.7,             0.82856,             0.46119,            0.050271,             0.11336,            0.013522,           0.0092476,           0.0092476,           0.0092476
                  40,            0.058686,             0.10009,            0.015724,             0.71567,             0.76252,             0.84011,             0.43218,            0.060316,             0.11564,            0.013272,           0.0092278,           0.0092278,           0.0092278
                  41,              0.0603,            0.097708,            0.014638,             0.78039,             0.78433,             0.85757,              0.5852,            0.052832,             0.10733,            0.013056,            0.009208,            0.009208,            0.009208
                  42,            0.060015,            0.097882,            0.014584,             0.71845,             0.77882,             0.82883,             0.50961,            0.063018,             0.12203,            0.013474,           0.0091882,           0.0091882,           0.0091882
                  43,            0.058602,             0.10014,            0.014906,             0.89908,                 0.8,             0.92833,              0.4385,            0.057701,             0.12815,            0.013355,           0.0091684,           0.0091684,           0.0091684
                  44,            0.060361,             0.10243,            0.014967,             0.88495,                 0.8,             0.90979,             0.65427,            0.052958,             0.10476,             0.01303,           0.0091486,           0.0091486,           0.0091486
                  45,            0.057099,             0.10035,            0.014714,              0.8739,                 0.8,             0.92278,             0.54536,            0.059807,             0.11794,            0.012893,           0.0091288,           0.0091288,           0.0091288
                  46,            0.064429,            0.094007,            0.014559,             0.87139,                 0.8,             0.92833,               0.545,            0.049564,             0.10433,            0.012585,            0.009109,            0.009109,            0.009109
                  47,            0.061973,            0.097463,            0.015202,             0.74784,                 0.8,             0.90833,             0.40799,            0.070124,             0.11595,            0.012785,           0.0090892,           0.0090892,           0.0090892
                  48,            0.062468,            0.097031,            0.014778,             0.75875,                 0.8,             0.92567,             0.58693,            0.049928,             0.10822,            0.012455,           0.0090694,           0.0090694,           0.0090694
                  49,             0.06211,            0.091831,            0.014611,             0.81042,             0.79017,             0.93122,             0.42614,            0.061715,             0.11496,            0.012901,           0.0090496,           0.0090496,           0.0090496
                  50,            0.060142,             0.10205,            0.014241,             0.79044,                 0.8,             0.92357,             0.46829,            0.063555,             0.10552,             0.01261,           0.0090298,           0.0090298,           0.0090298
                  51,            0.059329,            0.095089,            0.014257,             0.83374,                 0.8,               0.935,             0.54338,            0.052753,             0.11116,            0.012551,             0.00901,             0.00901,             0.00901
                  52,            0.056663,            0.094326,            0.014576,             0.60782,                 0.9,                0.92,             0.40287,            0.062576,             0.10766,            0.011678,           0.0089902,           0.0089902,           0.0089902
                  53,            0.060304,            0.098426,            0.013728,              0.8755,                 0.8,               0.945,             0.56742,            0.054582,             0.10927,            0.012054,           0.0089704,           0.0089704,           0.0089704
                  54,            0.060507,            0.090655,            0.013949,             0.76702,             0.92226,             0.96583,             0.33941,            0.067782,             0.11087,            0.011773,           0.0089506,           0.0089506,           0.0089506
                  55,            0.063527,            0.098343,            0.013947,              0.6792,             0.96799,             0.98678,             0.50599,            0.052217,             0.10972,            0.011893,           0.0089308,           0.0089308,           0.0089308
                  56,            0.060289,             0.09877,            0.013883,             0.78584,             0.97755,               0.995,             0.67647,            0.053015,              0.1052,            0.011846,            0.008911,            0.008911,            0.008911
                  57,            0.057339,            0.094735,            0.013507,             0.65394,                   1,             0.97734,             0.66847,            0.058479,             0.11134,             0.01146,           0.0088912,           0.0088912,           0.0088912
